,Name,Applicants total,Admissions total,Enrolled total,Percent of freshmen submitting SAT scores,Percent of freshmen submitting ACT scores,SAT Critical Reading 25th percentile score,SAT Critical Reading 75th percentile score,SAT Math 25th percentile score,SAT Math 75th percentile score,SAT Writing 25th percentile score,SAT Writing 75th percentile score,ACT Composite 25th percentile score,ACT Composite 75th percentile score,State abbreviation,Geographic region,Level of institution,Control of institution,"Graduation rate - Bachelor degree within 6 years, total",Percent of undergraduate enrollment that are women,CITY,STABBR,ZIP,LONGITUD,LATITUDE
0,Alabama A & M University,6142.0,5521.0,1104.0,15.0,88.0,370.0,450.0,350.0,450.0,0.0,0.0,15.0,19.0,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,29.0,51.0,Normal,AL,35762,-86.568502,34.783367999999996
1,University of Alabama at Birmingham,5689.0,4934.0,1773.0,6.0,93.0,520.0,640.0,520.0,650.0,0.0,0.0,22.0,28.0,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,53.0,58.0,Birmingham,AL,35294-0110,-86.799345,33.505697
2,Amridge University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,67.0,61.0,Montgomery,AL,36117-3553,-86.17401,32.362609
3,University of Alabama in Huntsville,2054.0,1656.0,651.0,34.0,94.0,510.0,640.0,510.0,650.0,0.0,0.0,23.0,29.0,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,48.0,44.0,Huntsville,AL,35899,-86.640449,34.724557
4,Alabama State University,10245.0,5251.0,1479.0,18.0,87.0,380.0,480.0,370.0,480.0,0.0,0.0,15.0,19.0,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,25.0,59.0,Montgomery,AL,36104-0271,-86.295677,32.364317
5,The University of Alabama,30975.0,17515.0,6454.0,23.0,76.0,490.0,620.0,500.0,640.0,480.0,600.0,22.0,30.0,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,67.0,54.0,Tuscaloosa,AL,35487-0100,-87.545978,33.211875
6,Athens State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,0.0,65.0,Athens,AL,35611,-86.964698,34.806793
7,Auburn University at Montgomery,1958.0,1639.0,579.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,23.0,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,27.0,62.0,Montgomery,AL,36117-3596,-86.177544,32.36736
8,Auburn University,15745.0,13027.0,3726.0,17.0,83.0,520.0,620.0,540.0,650.0,510.0,620.0,24.0,30.0,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,68.0,49.0,Auburn,AL,36849,-85.488258,32.599378
9,Faulkner University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,23.0,63.0,Montgomery,AL,36109-3390,-86.21641,32.384181
10,Huntingdon College,1470.0,923.0,261.0,16.0,93.0,420.0,500.0,420.0,540.0,0.0,0.0,19.0,24.0,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,43.0,50.0,Montgomery,AL,36106-2148,-86.284366,32.351034000000006
11,Jacksonville State University,3083.0,2567.0,1158.0,18.0,89.0,430.0,540.0,420.0,540.0,0.0,0.0,19.0,26.0,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,31.0,58.0,Jacksonville,AL,36265,-85.765321,33.822938
12,Judson College,268.0,198.0,68.0,10.0,94.0,550.0,640.0,500.0,600.0,530.0,610.0,19.0,24.0,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,41.0,95.0,Marion,AL,36756,-87.315206,32.629253000000006
13,University of West Alabama,462.0,460.0,380.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,22.0,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,30.0,57.0,Livingston,AL,35470,-88.186329,32.588132
14,Miles College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,22.0,48.0,Fairfield,AL,35064-2621,-86.908751,33.482442
15,University of Mobile,866.0,617.0,259.0,13.0,87.0,470.0,610.0,470.0,680.0,0.0,0.0,20.0,25.0,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,49.0,67.0,Mobile,AL,36613-2842,-88.128934,30.793246999999997
16,University of Montevallo,1385.0,1209.0,531.0,3.0,96.0,495.0,613.0,465.0,550.0,440.0,580.0,20.0,26.0,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,45.0,66.0,Montevallo,AL,35115-6000,-86.865099,33.10625
17,University of North Alabama,2542.0,2057.0,970.0,3.0,96.0,413.0,565.0,433.0,530.0,0.0,0.0,19.0,25.0,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,32.0,57.0,Florence,AL,35632-0001,-87.681361,34.806738
18,Oakwood University,2728.0,937.0,409.0,47.0,58.0,410.0,513.0,400.0,510.0,0.0,0.0,17.0,22.0,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,37.0,57.0,Huntsville,AL,35896,-86.65270500000001,34.756344
19,Samford University,3447.0,2653.0,765.0,36.0,84.0,500.0,630.0,510.0,610.0,500.0,610.0,23.0,28.0,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,69.0,65.0,Birmingham,AL,35229-2240,-86.791799,33.464128
20,University of South Alabama,4814.0,4142.0,1878.0,8.0,92.0,440.0,550.0,435.0,565.0,420.0,520.0,20.0,26.0,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,33.0,57.0,Mobile,AL,36688-0002,-88.17871099999999,30.696033
21,Spring Hill College,6596.0,3052.0,431.0,20.0,92.0,480.0,600.0,480.0,600.0,480.0,610.0,21.0,27.0,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,56.0,60.0,Mobile,AL,36608-1791,-88.138199,30.694751
22,Stillman College,4121.0,1772.0,257.0,6.0,59.0,350.0,450.0,383.0,438.0,0.0,0.0,17.0,20.0,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,26.0,49.0,Tuscaloosa,AL,35401,-87.585278,33.200006
23,Talladega College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,82.0,53.0,Talladega,AL,35160,-86.11270400000001,33.433471999999995
24,Troy University,5946.0,4056.0,2087.0,7.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,24.0,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,36.0,62.0,Troy,AL,36082-0001,-85.957094,31.800672
25,Tuskegee University,10022.0,3519.0,650.0,43.0,75.0,400.0,510.0,400.0,520.0,0.0,0.0,18.0,22.0,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,44.0,58.0,Tuskegee,AL,36088-1920,-85.708492,32.4309
26,University of Alaska Anchorage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alaska,Far West AK CA HI NV OR WA,Four or more years,Public,28.0,59.0,Anchorage,AK,99508,-149.82619,61.190163
27,University of Alaska Fairbanks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alaska,Far West AK CA HI NV OR WA,Four or more years,Public,37.0,57.0,Fairbanks,AK,99775,-147.823146,64.85755999999999
28,University of Alaska Southeast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alaska,Far West AK CA HI NV OR WA,Four or more years,Public,12.0,64.0,Juneau,AK,99801-8697,-134.63825500000002,58.384845999999996
29,Alaska Pacific University,494.0,185.0,33.0,74.0,26.0,465.0,575.0,450.0,510.0,435.0,568.0,20.0,24.0,Alaska,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,40.0,66.0,Anchorage,AK,99508,-149.804168,61.190968000000005
30,University of Arizona,26329.0,20251.0,7401.0,66.0,52.0,483.0,600.0,500.0,630.0,480.0,590.0,21.0,27.0,Arizona,Southwest AZ NM OK TX,Four or more years,Public,61.0,52.0,Tucson,AZ,85721-0066,-110.95081499999999,32.232671999999994
31,Embry-Riddle Aeronautical University-Prescott,1689.0,1334.0,448.0,71.0,53.0,500.0,630.0,540.0,650.0,490.0,600.0,23.0,29.0,Arizona,Southwest AZ NM OK TX,Four or more years,Private not-for-profit,59.0,21.0,Prescott,AZ,86301-3720,-112.44974099999999,34.616766
32,Northern Arizona University,33989.0,31057.0,4772.0,64.0,50.0,470.0,580.0,470.0,580.0,450.0,560.0,20.0,25.0,Arizona,Southwest AZ NM OK TX,Four or more years,Public,49.0,58.0,Flagstaff,AZ,86011-4092,-111.653724,35.188449
33,Ottawa University-Phoenix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arizona,Southwest AZ NM OK TX,Four or more years,Private not-for-profit,0.0,69.0,Phoenix,AZ,85021,-112.113001,33.572173
34,Prescott College,399.0,291.0,49.0,79.0,21.0,480.0,640.0,420.0,600.0,490.0,580.0,22.0,30.0,Arizona,Southwest AZ NM OK TX,Four or more years,Private not-for-profit,38.0,55.0,Prescott,AZ,86301,-112.477185,34.5452
35,Arizona Christian University,344.0,209.0,90.0,39.0,57.0,440.0,580.0,455.0,600.0,0.0,0.0,20.0,25.0,Arizona,Southwest AZ NM OK TX,Four or more years,Private not-for-profit,47.0,50.0,Glendale,AZ,85306-3216,-112.181776,33.622952000000005
36,University of Arkansas at Little Rock,1443.0,761.0,667.0,3.0,82.0,360.0,480.0,410.0,480.0,0.0,0.0,20.0,27.0,Arkansas,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,21.0,59.0,Little Rock,AR,72204,-92.33977800000001,34.723254
37,Arkansas Baptist College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arkansas,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,9.0,37.0,Little Rock,AR,72202-6068,-92.290555,34.734751
38,Lyon College,1309.0,772.0,174.0,9.0,95.0,470.0,600.0,540.0,610.0,460.0,600.0,22.0,28.0,Arkansas,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,50.0,54.0,Batesville,AR,72501,-91.625354,35.777619
39,University of Arkansas,18908.0,11076.0,4339.0,27.0,91.0,500.0,600.0,520.0,630.0,0.0,0.0,23.0,28.0,Arkansas,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,60.0,51.0,Fayetteville,AR,72701,-94.17698100000001,36.070009000000006
40,University of Arkansas at Pine Bluff,4094.0,1134.0,568.0,6.0,94.0,330.0,430.0,348.0,493.0,340.0,430.0,15.0,20.0,Arkansas,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,26.0,54.0,Pine Bluff,AR,71601,-92.018683,34.244031
41,Arkansas Tech University,3847.0,3271.0,1755.0,1.0,84.0,370.0,490.0,410.0,520.0,370.0,490.0,18.0,25.0,Arkansas,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,41.0,54.0,Russellville,AR,72801-2222,-93.13561999999999,35.293237
42,University of Arkansas at Monticello,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arkansas,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,22.0,58.0,Monticello,AR,71656,-91.811153,33.590909
43,University of Central Arkansas,3659.0,3292.0,2157.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,26.0,Arkansas,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,42.0,58.0,Conway,AR,72035-0001,-92.457672,35.077945
44,Central Baptist College,540.0,292.0,129.0,3.0,85.0,430.0,590.0,470.0,670.0,430.0,620.0,18.0,23.0,Arkansas,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,38.0,49.0,Conway,AR,72034,-92.445021,35.083838
45,Harding University,2180.0,1663.0,1041.0,29.0,87.0,490.0,630.0,500.0,620.0,0.0,0.0,22.0,28.0,Arkansas,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,62.0,54.0,Searcy,AR,72149-5615,-91.72614300000001,35.247386
46,Henderson State University,3350.0,2084.0,704.0,3.0,94.0,460.0,538.0,490.0,590.0,0.0,0.0,19.0,24.0,Arkansas,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,29.0,56.0,Arkadelphia,AR,71999-0001,-93.059703,34.128155
47,Hendrix College,1928.0,1550.0,436.0,45.0,82.0,530.0,680.0,540.0,650.0,0.0,0.0,26.0,32.0,Arkansas,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,70.0,55.0,Conway,AR,72032-3080,-92.443256,35.101565
48,John Brown University,1143.0,798.0,305.0,30.0,82.0,500.0,640.0,505.0,640.0,490.0,610.0,22.0,28.0,Arkansas,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,65.0,56.0,Siloam Springs,AR,72761,-94.560283,36.189811999999996
49,Ouachita Baptist University,1740.0,1220.0,394.0,19.0,91.0,440.0,550.0,460.0,580.0,0.0,0.0,21.0,27.0,Arkansas,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,60.0,53.0,Arkadelphia,AR,71998-0001,-93.052471,34.126093
50,University of the Ozarks,1061.0,651.0,159.0,16.0,85.0,420.0,550.0,450.0,550.0,0.0,0.0,20.0,26.0,Arkansas,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,48.0,52.0,Clarksville,AR,72830,-93.467221,35.476278
51,Philander Smith College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arkansas,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,45.0,66.0,Little Rock,AR,72202-3799,-92.283015,34.737131
52,Southern Arkansas University Main Campus,2720.0,1654.0,663.0,6.0,94.0,410.0,520.0,430.0,590.0,0.0,0.0,18.0,24.0,Arkansas,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,30.0,58.0,Magnolia,AR,71753,-93.235922,33.291618
53,University of Arkansas-Fort Smith,3905.0,2240.0,1343.0,2.0,82.0,350.0,540.0,430.0,620.0,390.0,550.0,19.0,25.0,Arkansas,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,24.0,56.0,Fort Smith,AR,72913-3649,-94.373729,35.384184000000005
54,Azusa Pacific University,5329.0,4255.0,1250.0,86.0,42.0,490.0,600.0,490.0,610.0,0.0,0.0,21.0,27.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,65.0,64.0,Azusa,CA,91702-7000,-117.888375,34.130047
55,Biola University,4816.0,3509.0,903.0,85.0,40.0,500.0,620.0,503.0,620.0,490.0,620.0,22.0,27.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,68.0,62.0,La Mirada,CA,90639-0001,-118.014374,33.906203000000005
56,California Institute of Integral Studies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,0.0,73.0,San Francisco,CA,94103,-122.416102,37.774924
57,California Baptist University,3853.0,3036.0,993.0,82.0,44.0,430.0,550.0,420.0,560.0,420.0,540.0,18.0,24.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,58.0,64.0,Riverside,CA,92504-3297,-117.425619,33.929321
58,California Institute of Technology,5535.0,584.0,249.0,88.0,43.0,720.0,800.0,770.0,800.0,720.0,790.0,33.0,35.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,93.0,37.0,Pasadena,CA,91125,-118.125878,34.137349
59,California Lutheran University,6920.0,3323.0,540.0,84.0,42.0,500.0,590.0,510.0,613.0,0.0,0.0,22.0,26.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,70.0,55.0,Thousand Oaks,CA,91360-2787,-118.878924,34.224565999999996
60,California Polytechnic State University-San Luis Obispo,36941.0,11537.0,3635.0,88.0,62.0,550.0,650.0,590.0,690.0,0.0,0.0,25.0,30.0,California,Far West AK CA HI NV OR WA,Four or more years,Public,70.0,45.0,San Luis Obispo,CA,93407,-120.657311,35.299513
61,California State University-Bakersfield,6630.0,4393.0,1328.0,90.0,24.0,390.0,500.0,400.0,520.0,0.0,0.0,15.0,22.0,California,Far West AK CA HI NV OR WA,Four or more years,Public,39.0,61.0,Bakersfield,CA,93311-1099,-119.10471100000001,35.350004999999996
62,California State University-Stanislaus,5763.0,4158.0,1109.0,86.0,35.0,400.0,510.0,410.0,520.0,0.0,0.0,16.0,22.0,California,Far West AK CA HI NV OR WA,Four or more years,Public,52.0,64.0,Turlock,CA,95382-0299,-120.852511,37.52577
63,California State University-San Bernardino,12239.0,7137.0,2448.0,95.0,37.0,390.0,490.0,400.0,510.0,0.0,0.0,16.0,20.0,California,Far West AK CA HI NV OR WA,Four or more years,Public,41.0,61.0,San Bernardino,CA,92407-2393,-117.323801,34.182621999999995
64,California State Polytechnic University-Pomona,28143.0,14686.0,3120.0,95.0,27.0,460.0,570.0,490.0,620.0,0.0,0.0,20.0,26.0,California,Far West AK CA HI NV OR WA,Four or more years,Public,52.0,43.0,Pomona,CA,91768,-117.821476,34.057912
65,California State University-Chico,17215.0,12327.0,2714.0,90.0,36.0,450.0,550.0,460.0,570.0,0.0,0.0,19.0,24.0,California,Far West AK CA HI NV OR WA,Four or more years,Public,56.0,52.0,Chico,CA,95929-0150,-121.84485900000001,39.729712
66,California State University-Dominguez Hills,14742.0,8472.0,1214.0,80.0,21.0,380.0,470.0,380.0,470.0,0.0,0.0,15.0,19.0,California,Far West AK CA HI NV OR WA,Four or more years,Public,29.0,64.0,Carson,CA,90747-0005,-118.255917,33.864765999999996
67,California State University-Fresno,16242.0,9444.0,3139.0,89.0,39.0,400.0,510.0,410.0,530.0,0.0,0.0,16.0,22.0,California,Far West AK CA HI NV OR WA,Four or more years,Public,49.0,57.0,Fresno,CA,93740,-119.744569,36.811153999999995
68,California State University-Fullerton,38909.0,17817.0,4526.0,95.0,34.0,450.0,550.0,470.0,580.0,0.0,0.0,19.0,24.0,California,Far West AK CA HI NV OR WA,Four or more years,Public,53.0,55.0,Fullerton,CA,92831-3599,-117.885446,33.881506
69,California State University-East Bay,12741.0,8756.0,1572.0,91.0,32.0,400.0,500.0,400.0,520.0,0.0,0.0,16.0,22.0,California,Far West AK CA HI NV OR WA,Four or more years,Public,38.0,61.0,Hayward,CA,94542,-122.054135,37.657694
70,California State University-Long Beach,55019.0,16956.0,4276.0,95.0,33.0,440.0,550.0,460.0,590.0,0.0,0.0,18.0,24.0,California,Far West AK CA HI NV OR WA,Four or more years,Public,60.0,57.0,Long Beach,CA,90840-0115,-118.11204,33.782818
71,California State University-Los Angeles,27321.0,18448.0,2908.0,95.0,32.0,380.0,480.0,390.0,510.0,0.0,0.0,15.0,20.0,California,Far West AK CA HI NV OR WA,Four or more years,Public,36.0,59.0,Los Angeles,CA,90032-8506,-118.16896499999999,34.066927
72,California State University-Northridge,29339.0,13566.0,4149.0,91.0,25.0,400.0,510.0,400.0,530.0,0.0,0.0,16.0,22.0,California,Far West AK CA HI NV OR WA,Four or more years,Public,46.0,55.0,Northridge,CA,91330,-118.529319,34.240126000000004
73,California State University-Sacramento,19702.0,13728.0,3151.0,92.0,34.0,410.0,520.0,430.0,540.0,0.0,0.0,17.0,22.0,California,Far West AK CA HI NV OR WA,Four or more years,Public,43.0,57.0,Sacramento,CA,95819-2694,-121.423549,38.559415
74,University of California-Berkeley,61717.0,11108.0,4162.0,91.0,40.0,590.0,720.0,630.0,770.0,620.0,750.0,27.0,33.0,California,Far West AK CA HI NV OR WA,Four or more years,Public,91.0,52.0,Berkeley,CA,94720,-122.26046299999999,37.871918
75,University of California-Davis,49820.0,22526.0,5208.0,93.0,45.0,510.0,640.0,560.0,680.0,530.0,650.0,23.0,29.0,California,Far West AK CA HI NV OR WA,Four or more years,Public,81.0,56.0,Davis,CA,95616-8678,-121.749567,38.539667
76,University of California-Irvine,56515.0,23956.0,5077.0,95.0,41.0,460.0,600.0,530.0,670.0,490.0,620.0,21.0,27.0,California,Far West AK CA HI NV OR WA,Four or more years,Public,86.0,54.0,Irvine,CA,92697,-117.841248,33.648434
77,University of California-Los Angeles,72676.0,15981.0,5620.0,91.0,41.0,560.0,680.0,600.0,760.0,590.0,710.0,25.0,31.0,California,Far West AK CA HI NV OR WA,Four or more years,Public,90.0,55.0,Los Angeles,CA,90095-1405,-118.44217900000001,34.07178
78,University of California-Riverside,30391.0,18843.0,4034.0,96.0,40.0,470.0,580.0,500.0,630.0,480.0,590.0,20.0,25.0,California,Far West AK CA HI NV OR WA,Four or more years,Public,66.0,51.0,Riverside,CA,92521,-117.32741000000001,33.97246
79,University of California-San Diego,60832.0,22812.0,4575.0,93.0,39.0,550.0,660.0,620.0,730.0,580.0,690.0,25.0,31.0,California,Far West AK CA HI NV OR WA,Four or more years,Public,86.0,48.0,La Jolla,CA,92093,-117.23586599999999,32.877749
80,University of California-Santa Barbara,55258.0,24556.0,4741.0,93.0,47.0,530.0,650.0,560.0,690.0,550.0,660.0,24.0,29.0,California,Far West AK CA HI NV OR WA,Four or more years,Public,81.0,52.0,Santa Barbara,CA,93106,-119.846426,34.416297
81,University of California-Santa Cruz,33137.0,19851.0,3827.0,92.0,43.0,470.0,610.0,490.0,620.0,470.0,610.0,20.0,26.0,California,Far West AK CA HI NV OR WA,Four or more years,Public,73.0,53.0,Santa Cruz,CA,95064-1011,-122.058801,36.995584
82,Chapman University,11750.0,5253.0,1289.0,78.0,51.0,550.0,640.0,570.0,660.0,560.0,650.0,24.0,29.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,76.0,59.0,Orange,CA,92866,-117.85251799999999,33.79302
83,Concordia University-Irvine,2055.0,1874.0,373.0,83.0,38.0,453.0,550.0,450.0,560.0,450.0,550.0,20.0,25.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,63.0,62.0,Irvine,CA,92612-3203,-117.81230500000001,33.653665000000004
84,San Diego Christian College,561.0,276.0,99.0,76.0,42.0,440.0,570.0,430.0,550.0,425.0,530.0,19.0,22.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,41.0,53.0,Santee,CA,92071,-116.97811200000001,32.842403999999995
85,Claremont Graduate University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,0.0,0.0,Claremont,CA,91711-6160,-117.71370300000001,34.103584999999995
86,Claremont McKenna College,5518.0,647.0,337.0,58.0,42.0,650.0,740.0,670.0,760.0,660.0,750.0,29.0,33.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,93.0,48.0,Claremont,CA,91711-6400,-117.71118799999999,34.102154
87,Dominican University of California,2322.0,1800.0,305.0,87.0,38.0,480.0,570.0,480.0,590.0,480.0,580.0,20.0,25.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,53.0,74.0,San Rafael,CA,94901-2298,-122.512051,37.981279
88,Fielding Graduate University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,0.0,0.0,Santa Barbara,CA,93105-3538,-119.717161,34.42941
89,Fresno Pacific University,705.0,553.0,212.0,98.0,39.0,440.0,550.0,440.0,550.0,428.0,550.0,18.0,22.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,54.0,68.0,Fresno,CA,93702-4709,-119.735199,36.726831
90,Golden Gate University-San Francisco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,0.0,54.0,San Francisco,CA,94105-2968,-122.398969,37.789374
91,Harvey Mudd College,3539.0,643.0,217.0,89.0,41.0,680.0,760.0,720.0,800.0,670.0,760.0,32.0,35.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,91.0,46.0,Claremont,CA,91711,-117.70983700000001,34.106515
92,Holy Names University,561.0,318.0,87.0,97.0,40.0,410.0,500.0,410.0,500.0,0.0,0.0,17.0,21.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,35.0,69.0,Oakland,CA,94619-1699,-122.187804,37.802276
93,Humboldt State University,9978.0,8000.0,1237.0,93.0,37.0,450.0,580.0,440.0,560.0,0.0,0.0,18.0,24.0,California,Far West AK CA HI NV OR WA,Four or more years,Public,40.0,53.0,Arcata,CA,95521-8299,-124.07829299999999,40.877481
94,American Jewish University,100.0,59.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,81.0,50.0,Los Angeles,CA,90077-1519,-118.47170600000001,34.128153000000005
95,University of La Verne,6989.0,2722.0,623.0,91.0,31.0,460.0,550.0,470.0,580.0,460.0,560.0,20.0,25.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,59.0,58.0,La Verne,CA,91750-4401,-117.77326200000002,34.100854999999996
96,Lincoln University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,76.0,65.0,Oakland,CA,94612-2801,-122.269745,37.804788
97,Lincoln University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,76.0,65.0,Jefferson City,MO,65101,-92.166724,38.564431
98,Lincoln University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,76.0,65.0,Lincoln University,PA,19352-0999,-75.926458,39.807722999999996
99,Lincoln University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missouri,Plains IA KS MN MO NE ND SD,Four or more years,Public,22.0,57.0,Oakland,CA,94612-2801,-122.269745,37.804788
